"","x"
"will",329
"new",285
"gopdebate",272
"today",245
"tedcruz",208
"vote",200
"people",191
"great",188
"thank",187
"hampshire",185
"trump",182
"now",180
"president",172
"caucus",171
"can",167
"tonight",167
"carolina",166
"hillary",166
"south",166
"get",163
"america",157
"cruz",157
"need",152
"johnkasich",151
"marcorubio",151
"campaign",147
"iowa",143
"join",142
"one",142
"day",141
"fitn",139
"just",134
"kasich",132
"watch",131
"support",124
"time",123
"live",122
"country",118
"make",114
"https",113
"rally",110
"berniesanders",109
"realdonaldtrump",106
"win",100
"iacaucus",99
"john",96
"right",95
"nevada",92
"ready",92
"rubio",92
"jebbush",91
"randpaul",90
"realbencarson",90
"tomorrow",90
"team",89
"back",87
"candidate",87
"ted",86
"crowd",85
"like",84
"want",83
"big",82
"dont",81
"last",81
"jeb",80
"together",78
"foxnews",77
"plan",76
"bush",74
"scprimary",74
"state",74
"youre",74
"cruzcrew",73
"help",73
"stand",73
"thanks",73
"going",72
"night",71
"proud",71
"must",69
"see",68
"teammarco",68
"american",67
"every",66
"hillaryclinton",66
"says",66
"town",65
"hall",64
"lets",64
"election",63
"know",63
"voters",63
"best",60
"httpst",60
"got",59
"primary",59
"say",59
"next",58
"cant",57
"find",57
"first",57
"take",57
"marco",56
"nation",56
"work",56
"come",55
"conservative",54
"never",54
"real",54
"states",54
"keep",53
"tune",53
"good",52
"record",52
"message",51
"bernie",50
"location",50
"morning",50
"thats",50
"caucusforcruz",49
"imwithher",49
"show",49
"americans",48
"fight",48
"hes",48
"debate",47
"way",47
"caucusforbernie",46
"gop",46
"kasichus",46
"leadership",46
"stop",46
"demdebate",45
"justice",45
"lindseygrahamsc",45
"nhprimary",45
"care",44
"immigration",44
"senator",44
"stage",44
"government",43
"hear",43
"ill",43
"looking",43
"makeamericagreatagain",43
"graham",42
"hope",42
"httpstco",42
"political",42
"forward",41
"look",41
"speaking",41
"supporting",41
"talk",41
"years",41
"cnn",40
"donald",40
"friends",40
"leader",40
"read",40
"rsvp",40
"security",40
"supporters",40
"sure",40
"volunteers",40
"choosecruz",39
"event",39
"family",39
"much",39
"done",38
"everyone",38
"house",38
"needs",38
"ohio",38
"polls",38
"tonights",38
"believe",37
"poll",37
"voting",37
"change",36
"governor",36
"hard",36
"made",36
"race",36
"amazing",35
"days",35
"future",35
"let",35
"many",35
"military",35
"place",35
"polling",35
"potus",35
"better",34
"families",34
"honored",34
"life",34
"lindsey",34
"reform",34
"talking",34
"united",34
"well",34
"world",34
"nhpolitics",33
"votetogether",33
"welcome",33
"gov",32
"honor",32
"love",32
"said",32
"sen",32
"strong",32
"texas",32
"via",32
"working",32
"glennbeck",31
"home",31
"jobs",31
"marcomentum",31
"momentum",31
"republican",31
"sanders",31
"tax",31
"chance",30
"check",30
"clinton",30
"des",30
"deserve",30
"experience",30
"moines",30
"speak",30
"still",30
"super",30
"video",30
"always",29
"feelthebern",29
"health",29
"job",29
"liberty",29
"national",29
"safe",29
"standing",29
"think",29
"wall",29
"allinforjeb",28
"americatogether",28
"another",28
"carson",28
"economic",28
"important",28
"las",28
"party",28
"supermonday",28
"coming",27
"line",27
"special",27
"taking",27
"agree",26
"doesnt",26
"excited",26
"give",26
"growth",26
"httpstc",26
"man",26
"manchester",26
"really",26
"things",26
"tuesday",26
"white",26
"won",26
"defeat",25
"fighting",25
"isis",25
"issues",25
"joining",25
"may",25
"money",25
"rights",25
"washington",25
"wont",25
"around",24
"bring",24
"flint",24
"florida",24
"heres",24
"joined",24
"left",24
"lot",24
"nothing",24
"nvcaucus",24
"presidential",24
"protect",24
"put",24
"someone",24
"speech",24
"system",24
"veterans",24
"votes",24
"weve",24
"beat",23
"build",23
"candidates",23
"commanderinchief",23
"endorsement",23
"full",23
"http",23
"lead",23
"meeting",23
"million",23
"miss",23
"news",23
"obamacare",23
"policy",23
"revolution",23
"values",23
"whos",23
"calls",22
"chip",22
"choice",22
"close",22
"cruztovictory",22
"enough",22
"getting",22
"houston",22
"little",22
"making",22
"meet",22
"millions",22
"nevadacaucus",22
"person",22
"please",22
"power",22
"proven",22
"students",22
"takes",22
"todays",22
"trail",22
"week",22
"without",22
"away",21
"ben",21
"children",21
"end",21
"goptownhall",21
"hours",21
"illegal",21
"interview",21
"kids",21
"letcarlydebate",21
"obama",21
"part",21
"politics",21
"questions",21
"solutions",21
"street",21
"vegas",21
"voted",21
"voter",21
"war",21
"call",20
"charleston",20
"clear",20
"early",20
"easy",20
"happy",20
"head",20
"high",20
"johnkasichs",20
"media",20
"megynkelly",20
"statement",20
"two",20
"women",20
"behind",19
"budget",19
"building",19
"ever",19
"fair",19
"friend",19
"iowacaucus",19
"listen",19
"minutes",19
"republicans",19
"theres",19
"theyre",19
"winning",19
"word",19
"action",18
"also",18
"constitution",18
"county",18
"debt",18
"demtownhall",18
"donate",18
"enjoy",18
"former",18
"game",18
"history",18
"isnt",18
"ive",18
"leaders",18
"morningjoe",18
"opportunity",18
"pay",18
"problems",18
"results",18
"teamjohnkasich",18
"tough",18
"visit",18
"wait",18
"ahead",17
"anyone",17
"asking",17
"bcdc",17
"city",17
"didnt",17
"difference",17
"education",17
"energy",17
"even",17
"far",17
"federal",17
"foreign",17
"makes",17
"packed",17
"prepared",17
"rand",17
"scformarco",17
"strength",17
"wants",17
"wrong",17
"across",16
"awesome",16
"break",16
"caucusing",16
"court",16
"create",16
"defend",16
"doors",16
"free",16
"govmikehuckabee",16
"grateful",16
"greenville",16
"hillaryfornh",16
"kasichs",16
"office",16
"order",16
"plans",16
"racism",16
"reagan",16
"reno",16
"report",16
"restore",16
"room",16
"senate",16
"send",16
"terrorists",16
"top",16
"true",16
"turnout",16
"wonderful",16
"yet",16
"black",15
"border",15
"class",15
"dinner",15
"establishment",15
"final",15
"glad",15
"happen",15
"heart",15
"hillarys",15
"htt",15
"immigrants",15
"iowatoday",15
"knows",15
"long",15
"march",15
"movement",15
"nights",15
"open",15
"repeal",15
"run",15
"scalia",15
"start",15
"trust",15
"turn",15
"university",15
"year",15
"americas",14
"ask",14
"asked",14
"bad",14
"came",14
"cast",14
"comes",14
"commit",14
"crisis",14
"democracy",14
"discuss",14
"endorse",14
"laws",14
"name",14
"nikkihaley",14
"nomination",14
"november",14
"politicians",14
"saturday",14
"service",14
"shows",14
"terrorism",14
"use",14
"weak",14
"add",13
"campaigning",13
"chrischristie",13
"continue",13
"cut",13
"economy",13
"fix",13
"follow",13
"fox",13
"growing",13
"instead",13
"issue",13
"law",13
"leading",13
"learn",13
"lightweight",13
"nominee",13
"obamas",13
"paul",13
"policies",13
"remember",13
"saying",13
"school",13
"showing",13
"social",13
"speaks",13
"stronger",13
"talks",13
"taxes",13
"text",13
"told",13
"water",13
"yesterday",13
"youll",13
